RAh,RAm,RAs,e_RAs,DEd,DEm,DEs,eDEs,GLON,GLAT,Si,e_Si,Pk,e_Pk,m,e_m,RM,e_RM
0,1,56.53,0.04,36,22,33.2,0.6,111.9177,-25.4351,152.3,4.6,5.6,0.26,3.87,0.18,-54.7,10.9
0,2,3.16,0.03,16,26,9,0.6,106.1269,-44.8185,87,2.6,4.04,0.27,4.69,0.31,-15.7,15
0,2,4.61,0.04,-39,21,5.3,0.6,-20.1382,-74.0349,103.9,3.7,5.29,0.29,5.36,0.29,20.6,12.9
0,2,6.8,0.06,60,58,29.4,0.6,116.9827,-1.3259,277,8.3,6.93,0.35,2.65,0.13,-206.8,11.6
0,2,11.96,0.03,-21,53,9.2,0.6,55.357,-77.6423,370.5,11.1,23.85,0.59,7.31,0.18,6,4.9
0,2,12.01,0.03,0,57,23.5,0.6,96.5939,-61.2848,90.1,2.7,9.33,0.43,10.94,0.5,-8.4,10.4
0,2,14.1,0.04,31,39,41.7,0.6,110.8391,-30.0522,362,10.9,36.28,0.28,10.24,0.08,-64.7,1.8
0,2,21.8,0.03,-14,6,43,0.6,79.1621,-72.6679,823.5,28.9,13.85,0.28,1.92,0.04,0.6,4.7
0,2,23.92,0.03,11,57,32.5,0.6,104.4173,-49.1418,84.3,3,7.54,0.31,10.16,0.42,2.6,9
0,2,25.69,0.03,-7,43,34.3,0.6,89.7761,-67.387,248.4,8.6,5.79,0.33,2.67,0.15,2.7,12.5
0,2,31.26,0.12,74,59,46.8,0.6,119.7129,12.4311,82.9,2.5,3.62,0.28,4.47,0.35,-17.8,16.8
0,2,33.07,0.08,69,1,6.8,0.6,118.556,6.5632,224.3,6.7,6.06,0.39,2.82,0.18,-115.2,14.3
0,2,40.96,0.04,-19,52,52.3,0.6,63.3303,-76.6914,59.6,1.8,5.35,0.32,9.58,0.57,37.8,13.4
0,2,41.65,0.03,-4,11,57.3,0.6,93.9036,-64.2884,207.6,6.9,13.37,0.8,7.59,0.45,41.9,13.3
0,2,45.94,0.03,-30,28,25.5,0.6,12.6354,-78.8318,461.7,16,8.56,0.31,2.01,0.07,24.5,7.4
0,2,46.13,0.03,-15,48,3.7,0.6,75.5425,-74.0048,148.3,5,5.76,0.31,4.97,0.27,-24.8,10.8
0,2,47.2,0.04,-31,57,27.2,0.7,5.4781,-78.3786,55,2.4,4.28,0.32,9.45,0.71,-36.9,16.6
